depart;arrivee;duree
Lyon-Part-Dieu-Gare-Rou;Morez Lycée;195
Gare de Chamonix-Mont-Blanc;Lyon-Part-Dieu-Gare-Rou;240
Gare de Chambéry-Chal.-les-Eaux;Gare de Thonon-les-Bains;165
Gare de Chamonix-Mont-Blanc;Grenoble-Gare-Routière;220
Chamberry-Jacob;Gare de St-Gervais-L-B-Le-Fayet;165
Gare de Bonneville;Gare de Chambéry-Chal.-les-Eaux;130
Gare de Bourg-St-Maurice;Grenoble-Gare-Routière;160
Aubenas-Pl.-de-la-Paix;St-Martin-d'Hères;185
Montélimar-G-Routière;St-Martin-d'Hères;120
Privas-Cours-du-Palais;St-Martin-d'Hères;145
Annonay-Gare-Route;St-Martin-d'Hères;160
Gare de Saint-Claude;Lyon-Part-Dieu-Gare-Rou;135
Gare de Bourgoin-Jallieu;Lyon-Part-Dieu-Gare-Rou;51
Gare de Bourg-St-Maurice;Gare de Chambéry-Chal.-les-Eaux;145
Gare de Chambéry-Chal.-les-Eaux;Gare de Pont-de-Beauvoisin;48
Gare de Thonon-les-Bains;Grenoble-Gare-Routière;200
Gare de Mâcon-Ville;Lyon-Part-Dieu-Gare-Rou;75
Gare de Diemeringen;Sarralbe Centre;36
Gare de Diemeringen;Sarre-Union;20
Gare de Dinan;Gare de St-Brieuc;60
Gare de Dinan;Gare de Lamballe;73
Gare de Franois;Gare de St-Vit;14
Gare de Auxonne;Gare de Villers-les-Pots;10
Gare de Dijon-Ville;Gare de Neuilly-lès-Dijon;25
Gare de Bellegarde-s-V. Gare;Gare de St-Gervais-L-B-Le-Fayet;135
Gare de Bellegarde-s-V. Gare;Gare de Evian-les-Bains;115
Gare de Annemasse;Gare de St-Gervais-L-B-Le-Fayet;111
Gare de Bellegarde-s-V. Gare;Gare de Chamonix-Mont-Blanc;185
Gare de Annemasse;Gare de Bellegarde-s-V. Gare;71
Gare de Evian-les-Bains;Gare de Thonon-les-Bains;20
Gare de Cluses (Hte-Savoie);Gare de St-Gervais-L-B-Le-Fayet;40
Gare de Annemasse;Gare de La Roche-sur-Foron;30
Gare de Annecy;Gare de Annemasse;60
Gare de Ambérieu-en-Bugey;Gare de St-Rambert-en-Bugey;15
Gare de Ambérieu-en-Bugey;Gare de Virieu-le-Grand-Belley;52
Gare de Boën;Noirétable;26
Gare de Boën;Saint-Etienne-Chtx GR;92
Gare de Montbrison;Noirétable;44
Noirétable;Saint-Etienne-Chtx GR;108
Gare de Boën;Gare de Montbrison;18
Gare de Montbrison;Saint-Etienne-Chtx GR;60
Bourg-en-Bresse Gare R;Lyon-Part-Dieu-Gare-Rou;81
Bourg-en-Bresse Gare R;Gare de Mâcon-Loché-TGV;42
Bourg-en-Bresse Gare R;Gare de Mâcon-Ville;62
Gare de Ambérieu-en-Bugey;Lyon-Part-Dieu-Gare-Rou;63
Gare de Chambéry-Chal.-les-Eaux;Gare de St-André-le-Gaz;71
Gare de Chambéry-Chal.-les-Eaux;Gare de La Tour-du-Pin;86
Gare de Gap;Grenoble-Gare-Routière;127
Gare de Clelles-Mens;Gare de Gap;80
Clelles-Mairie;Grenoble-Gare-Routière;81
Gare de Vif;Grenoble-Gare-Routière;51
Gare de Clelles-Mens;Grenoble-Gare-Routière;73
Gare de Sain-Bel;Lyon-St-Paul-la-Feuilée;60
Gare de Sain-Bel;Lyon-St-Paul-Quai-Bondy;60
Lyon-Perrache-Gare-Rout;Vienne-Gare-Routière;53
Bourg-en-Bresse Gare R;Gare de Ambérieu-en-Bugey;40
Argentine;Gare de St-Pierre-d'Albigny;28
Gare de St-Priest;St-Pierre-de-Chandieu-R;21
Gare de Villefranche-sur-Saône;Lyon-Perrache-Gare-Rout;60
Gare de La Tour-du-Pin;Gare de Rives;55
Gare de Moûtiers-Salins-Brides;Gare de St-Pierre-d'Albigny;50
Gare de Albertville;Gare de Moûtiers-Salins-Brides;45
Gare de Aix-les-Bains-le-Revard;Gare de Chambéry-Chal.-les-Eaux;30
Gare de Bourg-St-Maurice;Gare de Moûtiers-Salins-Brides;37
Gare de Chambéry-Chal.-les-Eaux;Gare de Modane;113
Gare de Chambéry-Chal.-les-Eaux;Gare de Epierre-St-Léger;82
Gare de Aix-les-Bains-le-Revard;Gare de Modane;157
Gare de Chambéry-Chal.-les-Eaux;Gare de Culoz;65
Gare de Feurs;Saint-Etienne-Chtx GR;60
Gare de Albens;Gare de Annecy;45
Gare de Annecy;Gare de Rumilly;25
Gare de Sérézin;Ternay-Barbières;13
Communay-Stade;Gare de Sérézin;15
Gare de Epierre-St-Léger;Gare de Montmélian;52
Gare de Epierre-St-Léger;Gare de St-Pierre-d'Albigny;36
Gare de St-Jean-de-Maurienne-A.;Gare de St-Pierre-d'Albigny;70
Aiton-Salle-Polyvalente;Gare de St-Jean-de-Maurienne-A.;58
Gare de Chinon;Gare de Tours;82
Chinon-Lycée-Rabelais;Gare de Tours;75
Gare de Tours;St Christophe / Nais C.;60
Gare de Château-du-Loir;Gare de Tours;75
Droué (Centre);Gare de Courtalain-St-Pellerin;10
Courtalain-Centre;Droué (Centre);10
Chartres-Gare-Routière;Gare de Brou;55
Droué (Centre);Gare de Brou;36
Gare de Brou;Gare de Chartres;50
Droué (Centre);Gare de Chartres;92
Gare de Vendôme;Mondoubleau-Rue-Leroy;60
Aubigny-sur-Nere-Mail;Gare de Gien;44
Gare de Gien;Montargis-OT;49
Gare de Cosne-sur-Loire;Sancerre-Porte-Cesar;27
Bourges-Gare-Routière;nan;65
Bourges-Gare-Routière;Gare de St-Amand-Montrond-Orval;76
Gare de Bourges;Gare de St-Amand-Montrond-Orval;65
Châteauroux Gare Rout.;Gare de Bourges;106
Gare de Bourges;Issoudun-Place-de-la-G.;71
Châteauroux Gare Rout.;Issoudun-Jardin;40
Gare de Vierzon;Issoudun-Place-de-la-G.;50
Gare de Issoudun;Gare de Vierzon;56
Châteauroux Gare Rout.;Poitiers-Gare-Routière;135
Le-Blanc-Pl-du-Bateau;Poitiers-Gare-Routière;68
Gare de Nouan-le-Fuzelier;Romorantin-BA-G.R.;55
Chaumont-sur-Tharonne;Romorantin-BA-G.R.;31
Gare de Lamotte-Beuvron;Romorantin-BA-G.R.;40
Gare de Lamotte-Beuvron;Romorantin-Lycée-de-F;35
Châteauroux-Ly-B-Pascal;Gare de Eguzon;60
Châteauroux Gare Rout.;Gare de Argenton-sur-Creuse;45
Châteauroux-Ly-B-Pascal;Gare de Argenton-sur-Creuse;60
Châteauroux-Lycée-Agric;Gare de Argenton-sur-Creuse;55
Châteauroux Gare Rout.;Gare de Eguzon;80
Châteauroux Gare Rout.;Issoudun-Place-de-la-G.;36
Gare de Thesee;Romorantin-BA-G.R.;60
Romorantin-BA-G.R.;St-Aignan-Lep;55
Romorantin-BA-G.R.;St-Aignan-Pl-Wilson;53
Gare de Loches;Gare de Tours;58
Buzançais;Châteauroux Gare Rout.;30
Châteauroux Gare Rout.;Gare de Tours;150
Chatillon-Mail;Châteauroux-Charmilles;100
Clion-sur-Indre;Gare de Loches;40
Chatillon-Mail;Châteauroux Gare Rout.;90
Châteauroux Gare Rout.;Gare de Loches;101
Gare de Cormery;Gare de La Douzillère;47
Gare de Loches;Gare de Montbazon;65
Chambourg-Chopin;Gare de Cormery;25
Loches-Lycee-St-Denis;Truyes-St-Blaise;40
Gare de Cormery;Gare de Loches;29
Gare de Loches;TOURS LYCEE GRANDMONT;55
Gare de Esvres;Gare de Loches;45
Gare de Tours;Reignac-Bourg-Du-Fau;74
Gare de Loches;Truyes-Pl-Du-Souvenir;40
Gare de La Douzillère;Gare de Veigné;15
Loches-LEP;Truyes-Pl-Du-Souvenir;25
Gare de Tours;Loches-LEP;80
Gare de Cormery;Gare de Tours;43
Buzançais;Châteauroux-Ly-B-Pascal;59
Gare de Esvres;Gare de La Douzillère;20
Chatillon-Mail;Châteauroux-L-Giraudoux;93
Chatillon-Mail;Gare de Tours;95
Gare de Vierzon;Romorantin-BA-G.R.;43
Romorantin-BA-G.R.;Vierzon-Médiathèque;48
Gare de Blois-Chambord;Gare de Limeray;35
Gare de Châteaudun;Gare de Dourdan;90
Châteaudun-LEP-Paulsen;Gare de Dourdan;102
Chartres-Gare-Routière;Gare de Tours;159
Chartres-Gare-Routière;Gare de Vendôme;84
Gare de Châteaudun;Gare de Vendôme;55
Gare de Tours;Gare de Vendôme;65
Chartres-Gare-Routière;Gare de Châteaudun;56
Gare de Châteaudun;Gare de Tours;111
Gare de Château-Renault;Gare de Vendôme-Villiers-s-Loir;47
Gare de Epinal;Gare de Neufchâteau;109
Gare de Neufchâteau;Gare de Vittel;45
Gare de Lunéville;Rambervillers (;1154
Gare de Lunéville;Moyen;41
Luneville-LP;Rambervillers (;1172
Lunéville (Cité Scolai);Rambervillers;60
Gare de Lunéville;Rambervillers;52
Lunéville (Cité Scolai);Rambervillers (;1171
Gare de Epinal;Mirecourt;44
Bruyères (Vosges);Gare de Lunéville;80
Gare de Remiremont;Gérardmer La Mauselaine;45
Gare de Contrexéville;Gare de Epinal;60
Gare de Longwy;Gare de Metz-Ville;55
Bussang (Gare SNCF);Gare de Remiremont;54
Bresse-Claudel (la);Gare de Remiremont;57
Gare de Remiremont;La-Bresse (Pl Champtel);63
Gare de Remiremont;La Bresse Le Lispach;83
Gare de Audun-le-Roman;Gare de Thionville;40
Bitche;Gare de Sarreguemines;48
Bitche-Quartier-Driant;Gare de Sarreguemines;56
Gare de Sarrebourg;St-Louis-;5727
Gare de Lutzelbourg;Gare de Sarrebourg;50
Gare de Conflans-Jarny;Gare de Metz-Ville;40
Gare de Metz-Ville;Gare de Verdun;90
Gare de Conflans-Jarny;Gare de Verdun;45
Gare de Marle-sur-Serre;Lugny;5
BarentonÂ Cel;Gare de Verneuil-sur-Serre;5
Barenton-sur-Serre;Gare de Verneuil-sur-Serre;5
Gare de Strasbourg;Gare de WOERTH RHEIN;66
Gare de Neustadt (Weinstr) Hbf;Gare de Wissembourg;62
Gare de WINDEN PFALZ;Gare de Wissembourg;16
Gare de Landau-Pfalz-Hbf;Gare de Wissembourg;28
Gare de Lauterbourg;Gare de WOERTH RHEIN;15
Gare de Fougères;Gare de Rennes;70
Gare de Nice-Ville;Gare de Ventimiglia-Stazione;53
Gare de Grasse;Gare de Nice-Ville;71
Gare de Grasse;Gare de Ventimiglia-Stazione;127
Gare de Grasse;Gare de Menton;113
Gare de Menton;Gare de Nice-Ville;39
Gare de Cannes-la-Bocca;Gare de Ventimiglia-Stazione;107
Gare de Cannes-la-Bocca;Gare de Menton;90
Gare de Les Arcs-Draguignan;Gare de Ventimiglia-Stazione;138
Gare de Les Arcs-Draguignan;Gare de Menton;118
Gare de Cannes-la-Bocca;Gare de Monaco-Monte-Carlo;73
Gare de Grasse;Gare de Monaco-Monte-Carlo;99
Gare de Monaco-Monte-Carlo;Gare de Nice-Ville;24
Gare de Cannes;Gare de Ventimiglia-Stazione;101
Gare de Cannes;Gare de Monaco-Monte-Carlo;70
Gare de Menton;Gare de Ventimiglia-Stazione;16
Gare de Monaco-Monte-Carlo;Gare de Ventimiglia-Stazione;30
Gare de Saarbrücken /Sarrebruck;Gare de Strasbourg;102
Gare de Mommenheim;Gare de Strasbourg;15
Gare de Metz-Ville;Gare de Trier-Hbf (Trèves);96
Gare de Longwy;Gare de Luxembourg;35
Gare de Luxembourg;Gare de Rodange;27
Gare de Perpignan;Gare de Port-Bou;59
Gare de Avignon-Centre;Gare de Port-Bou;259
Gare de Narbonne;Gare de Port-Bou;102
Gare de Nîmes;Gare de Port-Bou;209
Gare de Port-Bou;Gare de Toulouse-Matabiau;220
Gare de Montpellier-Saint-Roch;Gare de Port-Bou;171
Gare de Saarbrücken /Sarrebruck;Gare de Sarreguemines;29
Gare de Offenburg;Gare de Strasbourg;32
Gare de Kehl;Gare de Offenburg;22
Gare de Mulhouse;Gare de Mullheim-Baden-Bf;23
Gare de Freiburg-Breisgau;Gare de Mulhouse;45
Gare de Luxembourg;Gare de Nancy-Ville;92
Gare de Luxembourg;Gare de Thionville;25
Gare de Nancy-Ville;Gare de Thionville;65
Gare de Bettembourg;Gare de Nancy-Ville;79
Gare de Luxembourg;Gare de Metz-Ville;49
Gare de Bettembourg;Gare de Metz-Ville;36
Gare de Metz-Ville;Gare de Thionville;27
Gare de Forbach;Gare de Saarbrücken /Sarrebruck;10
Gare de Metz-Ville;Gare de Saarbrücken /Sarrebruck;60
Gare de Basel-SBB;Gare de Strasbourg;89
Gare de Basel-SBB;Gare de Sélestat;69
Gare de Genève;Gare de Lyon-Part-Dieu;117
Gare de Bellegarde-s-V. Gare;Gare de Genève;28
Gare de Lyon-Part-Dieu;Gare de St-Gervais-L-B-Le-Fayet;228
Gare de Genève;Gare de Grenoble;144
Gare de Genève;Gare de Valence-Ville;195
Gare de St-Pierre-des-Corps;Gare de Tours;5
Gare de Mommenheim;Gare de Sarreguemines;113
Gare de Mommenheim;Gare de Saarbrücken /Sarrebruck;154
Gare de Ingwiller;Gare de Mommenheim;35
Gare de Ingwiller;Gare de Strasbourg;66
Gare de Roeschwoog;Gare de Strasbourg;84
Gare de Lauterbourg;Gare de Strasbourg;114
Gare de Colmar;Gare de Munster;36
Gare de Kehl;Gare de Strasbourg;25
Gare de Saales;Gare de St-Dié-des-Vosges;28
Gare de Molsheim;Gare de St-Dié-des-Vosges;105
Gare de Rothau;Gare de St-Dié-des-Vosges;50
Gare de Molsheim;Gare de Rothau;55
Gare de Rothau;Gare de Saales;22
Gare de Kruth;Gare de Thann-Saint-Jacques;28
Gare de Molsheim;Gare de Saales;76
Gare de Thann-Saint-Jacques;Gare de Wesserling;19
Gare de Molsheim;Mutzig-Passage-A-Niveau;8
Gare de Erstein;Gare de Strasbourg;26
Gare de Colmar;Gare de Mulhouse;50
Gare de Bayonne;Gare de Pau;145
Gare de Bayonne;Gare de Puyoô;70
Gare de Mont-de-Marsan;Gare de Morcenx;45
Gare de Bordeaux-St-Jean;Gare de Mont-de-Marsan;185
Gare de Lesparre;Gare de Pauillac;25
Gare de Bordeaux-St-Jean;Gare de Lesparre;157
Gare de Bordeaux-St-Jean;Gare de Le-Verdon;200
Gare de Dax;Gare de Lourdes;170
Gare de Dax;Gare de Pau;110
Gare de Dax;Gare de Tarbes;205
Gare de Arcachon;Gare de Biganos-Facture;47
Gare de Brive-la-Gaillarde;Gare de Périgueux;105
Gare de Condat-le-Lardin;Gare de Tulle;85
Gare de Brive-la-Gaillarde;Gare de Condat-le-Lardin;44
Gare de Bedous;Gare de Pau;86
Gare de Oloron-Ste-Marie;Gare de Pau;52
Gare de Bidos;Gare de Pau;58
Gare de Bedous;Gare de Oloron-Ste-Marie;35
Gare de Bayonne;Gare de St-Jean-Pied-de-Port;81
Gare de Bayonne;Gare de Cambo-les-Bains;38
Gare de Dax;Gare de Hendaye;140
Gare de Bayonne;Gare de Morcenx;105
Gare de Bordeaux-St-Jean;Gare de Dax;170
Gare de Bergerac;Gare de Libourne;104
Gare de Libourne;Gare de St-Emilion;19
Gare de Bergerac;Gare de Sarlat;94
Gare de Bordeaux-St-Jean;Gare de Langon;87
Gare de Agen;Gare de Bordeaux-St-Jean;174
Gare de Agen;Gare de Périgueux;212
Gare de Agen;Gare de Monsempron-Libos;65
Gare de Commentry;Gare de Montluçon-Ville;25
Gare de Clermont-Ferrand;Gare de Moulins-sur-Allier;165
Gare de Clermont-Ferrand;Gare de Riom-Châtel-Guyon;25
Gare de Clermont-Ferrand;Gare de Vichy;85
Gare de Gannat;Gare de Vichy;32
Gare de Arvant;Gare de Brioude;12
Gare de Alès;Gare de Clermont-Ferrand;344
Gare de Alès;Gare de Brioude;254
Gare de Arvant;Gare de Langeac;46
Gare de Arvant;Gare de Nîmes;334
Gare de Aurillac;Gare de Neussargues;74
Gare de Aurillac;Gare de Figeac;80
Gare de Aurillac;Gare de Brive-la-Gaillarde;162
Gare de Firminy;Gare de Le Puy-en-Velay;129
Gare de Le Puy-en-Velay;Gare de Vorey;41
Gare de Dijon-Ville;Gare de Laroche-Migennes;216
Gare de Laroche-Migennes;Gare de Tonnerre;69
Gare de Frasne;Gare de Travers;56
Gare de Laroche-Migennes;Gare de Montereau;148
Gare de Clamecy;Gare de Laroche-Migennes;113
Gare de Auxerre-St-Gervais;Gare de Laroche-Migennes;28
Gare de Dijon-Ville;Gare de Is-sur-Tille;65
Gare de Dijon-Porte-Neuve;Gare de Is-sur-Tille;32
Gare de Dijon-Ville;Gare de Seurre;98
Gare de Besançon-Viotte;Gare de Dijon-Ville;164
Gare de Dijon-Ville;Gare de Les Laumes-Alésia;107
Gare de Avallon;Gare de Laroche-Migennes;110
Gare de Chagny;Gare de Montchanin;57
Gare de Decize;Gare de Luzy(Nièvre);54
Gare de Cosne-sur-Loire;Gare de Nevers-Le-Banlay;118
Gare de Nevers;Gare de Nevers-Le-Banlay;13
Gare de Lyon-Perrache;Gare de Paray-le-Monial;150
Gare de Besançon-Viotte;Gare de Dole-Ville;78
Gare de Belfort-Ville;Gare de Vesoul;115
Gare de Besançon-Viotte;Gare de Le Valdahon;62
Gare de Luzy(Nièvre);Gare de Montchanin;68
Gare de Le Creusot;Gare de Luzy(Nièvre);54
Gare de Bourg-en-Bresse;Gare de Lons-le-Saunier;89
Gare de Belfort-Ville;Gare de Meroux;24
Gare de Belfort-Ville;Gare de Delle;75
Gare de Besançon-Franche-Comté;Gare de Besançon-Viotte;23
Gare de Rennes;Gare de Vitré;60
Gare de Rennes;Gare de St-Brieuc;115
Gare de Montauban-de-Bretagne;Gare de Rennes;50
Gare de Messac-Guipry;Gare de Rennes;75
Gare de Nantes;Gare de Rennes;100
Gare de Rennes;Gare de Vannes;150
Gare de Messac-Guipry;Gare de Vannes;115
Gare de Redon;Gare de Rennes;105
Gare de Beslé;Gare de Redon;35
Gare de Lorient;Gare de Quimper;95
Gare de Lorient;Gare de Rosporden;65
Gare de Lorient;Gare de Vannes;80
Gare de Lorient;Gare de Redon;140
Gare de Brest;Gare de Morlaix;85
Gare de Brest;Gare de Quimper;130
Gare de Landerneau;Gare de Quimper;95
Gare de Brest;Gare de La Forest;35
Gare de Brest;Gare de Landerneau;45
Gare de Lannion;Gare de St-Brieuc;65
Gare de Guingamp;Gare de Lannion;55
Gare de Carhaix;Gare de Guingamp;75
Gare de Aubrais-(les);Gare de Cosne-sur-Loire;135
Gare de Port-de-Piles;Gare de Tours;85
Gare de Châteauroux;Gare de Vierzon;90
Gare de Argenton-sur-Creuse;Gare de Vierzon;130
Gare de Aubrais-(les);Gare de Toury;45
Gare de Bourges;Gare de Vierzon;70
Gare de Bourges;Gare de Montluçon-Ville;160
Gare de Port-Boulet;Gare de Tours;77
Gare de Aubrais-(les);Gare de Tours;160
Gare de Aubrais-(les);Gare de Château-Gaillard;45
Gare de Romorantin-Blanc-Argent;Gare de Valençay;45
Gare de Chartres;Gare de Nogent-le-Rotrou;91
Gare de Chartres;Gare de La Verrière;108
Gare de Chartres;Gare de Versailles-Chantiers;110
Gare de Chartres;Gare de Courtalain-St-Pellerin;90
Gare de Charleville-Mézières;Gare de Givet;107
Gare de Charleville-Mézières;Gare de Nouzonville;20
Gare de Charleville-Mézières;Gare de Reims;80
Gare de Reims;Gare de Sedan;163
Gare de Charleville-Mézières;Gare de Sedan;43
Gare de Rethel;Gare de Sedan;113
Gare de Laon;Gare de Reims;110
Gare de Chaumont;Gare de Châlons-en-Champagne;164
Gare de Châlons-en-Champagne;Gare de St-Dizier;75
Gare de Châlons-en-Champagne;Gare de Château-Thierry;105
Gare de Dormans;Gare de Epernay;30
Gare de Bar-le-Duc;Gare de Epernay;155
Gare de Bar-le-Duc;Gare de St-Dizier;35
Gare de Bar-le-Duc;Gare de Châlons-en-Champagne;110
Gare de Culmont-Chalindrey;Gare de Troyes;161
Gare de Dijon-Ville;Gare de Troyes;145
Gare de Cerbère;Gare de Perpignan;107
Gare de Le Grau-du-Roi;Gare de Vauvert;44
Gare de Le Grau-du-Roi;Gare de Nîmes;93
Gare de Carcassonne;Gare de Castelnaudary;59
Gare de Narbonne;Gare de Toulouse-Matabiau;218
Gare de Castelnaudary;Gare de Narbonne;134
Gare de Alès;Gare de Génolhac;57
Gare de Alès;Gare de La Bastide-St-Laurent;111
Gare de Alès;Gare de Mende;187
Gare de Alès;Gare de Langogne;136
Gare de Marvejols;Gare de Mende;48
Gare de Alès;Gare de Arvant;263
Gare de Langogne;Gare de Nîmes;180
Gare de Mende;Gare de Nîmes;247
Gare de Marvejols;Gare de Nîmes;297
Gare de Castelnaudary;Gare de Toulouse-Matabiau;83
Gare de Perpignan;Gare de Villefranche-Vernet-l.B;64
Gare de Guéret;Gare de Limoges-Bénédictins;111
Gare de Le Dorat;Gare de Limoges-Bénédictins;70
Gare de Limoges-Bénédictins;Gare de Poitiers;205
Gare de Limoges-Bénédictins;Gare de Saillat-Chassenon;91
Gare de Limoges-Bénédictins;Gare de Périgueux;147
Gare de St-Yrieix-la-Perche;Pompadour;47
Gare de Nexon;Pompadour;83
Gare de Limoges-Bénédictins;Gare de Nexon;33
Gare de Objat;Pompadour;31
Gare de Brive-la-Gaillarde;Gare de Objat;46
Gare de Brive-la-Gaillarde;Gare de Limoges-Bénédictins;174
Gare de Limoges-Bénédictins;Gare de Ussel;192
Gare de Brive-la-Gaillarde;Gare de Tulle;44
Gare de Lunéville;Gare de Nancy-Ville;71
Gare de Epinal;Gare de Nancy-Ville;79
Gare de Longwy;Gare de Rodange;16
Gare de Bening;Gare de Saarbrücken /Sarrebruck;53
Gare de Longwy;Gare de Nancy-Ville;172
Gare de Conflans-Jarny;Gare de Longwy;86
Gare de Nancy-Ville;Gare de Pont-St-Vincent;60
Gare de Bar-le-Duc;Gare de Metz-Ville;138
Gare de Bar-le-Duc;Gare de Nancy-Ville;88
Gare de Nancy-Ville;Gare de Remiremont;160
Gare de Châlons-en-Champagne;Gare de Metz-Ville;228
Gare de Epinal;Gare de Remiremont;37
Gare de Baroncourt;Gare de Nancy-Ville;109
Gare de Conflans-Jarny;Gare de Hagondange;64
Gare de Hagondange;Gare de Verdun;113
Gare de Nancy-Ville;Gare de St-Dié-des-Vosges;121
Gare de Nancy-Ville;Gare de Revigny;144
Gare de Liverdun;Gare de Nancy-Ville;25
Gare de Bar-le-Duc;Gare de Toul;77
Gare de Lunéville;Gare de St-Dié-des-Vosges;41
Gare de Longwy;Gare de Sedan;108
Gare de Charleville-Mézières;Gare de Longwy;151
Gare de Diemeringen;Gare de Saarbrücken /Sarrebruck;75
Gare de Nancy-Ville;Gare de Verdun;108
Gare de Dijon-Ville;Gare de Neufchâteau;120
Gare de Dijon-Ville;Gare de Nancy-Ville;190
Gare de Bettembourg;Gare de Luxembourg;20
Gare de Millau;Gare de Rodez;85
Gare de Millau;Laissac-Foirail;60
Gare de Mazamet;Gare de St-Sulpice (Tarn);103
Gare de Castres;Gare de St-Sulpice (Tarn);60
Gare de Capdenac;Gare de Figeac;20
Gare de Figeac;Gare de Tessonnières;160
Gare de Aurillac;Gare de Toulouse-Matabiau;244
Gare de Auch;Gare de L'Isle-Jourdain (Gers);51
Gare de Auch;Gare de Toulouse-Matabiau;122
Gare de Auch;Gare de Colomiers;94
Gare de L'Isle-Jourdain (Gers);Gare de Toulouse-Matabiau;72
Gare de Colomiers;Gare de L'Isle-Jourdain (Gers);48
Gare de Brive-la-Gaillarde;Gare de Montauban-Ville-Bourbon;198
Gare de Cahors;Gare de Montauban-Ville-Bourbon;78
Gare de Boussens;Gare de Pau;183
Gare de Muret;Gare de Tarbes;182
Gare de Boussens;Gare de Muret;93
Gare de Boussens;Gare de Montréjeau-Gourdan-Pol.;55
Gare de Montréjeau-Gourdan-Pol.;Gare de Muret;138
Gare de Pau;Gare de Tarbes;93
Gare de Lourdes;Gare de Tarbes;35
Gare de Agen;Gare de Montauban-Ville-Bourbon;106
Gare de Capdenac;Gare de Rodez;86
Gare de Brive-la-Gaillarde;Gare de Capdenac;148
Gare de Cambrai Ville;Gare de St Quentin;101
Gare de Boulogne Ville;Gare de Calais Fréthun;30
Gare de Calais Fréthun;Gare de Rang du Fl. Verton Ber.;96
Gare de Lille Flandres;Gare de Mouscron / Moeskroen;49
Gare de Douai;Gare de Lille Flandres;118
Gare de Cambrai Ville;Gare de Valenciennes;95
Gare de Aulnoye Aymeries;Gare de Jeumont;50
Gare de Aulnoye Aymeries;Gare de Maubeuge;28
Gare de Maubeuge;Gare de St Quentin;116
Gare de Aulnoye Aymeries;Gare de Busigny;82
Gare de Amiens;Gare de Arras;104
Gare de Aulnoye Aymeries;Gare de Hirson;104
Gare de Lille Flandres;Gare de Valenciennes;127
Gare de Jeumont;Gare de Maubeuge;15
Gare de Jeumont;Gare de Valenciennes;128
Gare de Charleroi Sud;Gare de Maubeuge;60
Gare de Calais Ville;Gare de Hazebrouck;109
Gare de Arras;Gare de St Pol sur Ternoise;63
Gare de Abbeville;Gare de Amiens;56
Gare de Arras;Gare de Lens;42
Gare de Arras;Gare de Lille Flandres;99
Gare de Amiens;Gare de Lille Flandres;223
Gare de Albert;Gare de Douai;119
Gare de Amiens;Gare de Douai;164
Gare de Albert;Gare de Arras;62
Gare de Dunkerque;Gare de Lille Flandres;150
Gare de Caen;Gare de Cherbourg;174
Gare de Evreux;Normandie;84
Gare de Le Mans;Gare de Tours;133
Gare de Amiens;Gare de Rouen-Rive-Droite;186
Gare de La Roche-sur-Yon;Gare de La Rochelle-Ville;120
Gare de Angers-St-Laud;Gare de Sablé-sur-Sarthe;83
Gare de Le Mans;Gare de Nogent-le-Rotrou;95
Gare de Connerré-Beillé;Gare de Le Mans;50
Gare de Laval;Gare de Le Mans;135
Gare de Angers-St-Laud;Gare de Saumur;95
Gare de Angers-St-Laud;Gare de Cholet;100
Gare de Beauvais-Gare-SNCF;Gare de Persan-Beaumont;90
Gare de Tergnier;Laon-Gare-Routière-Poma;67
Gare de Amiens;Gare de Tergnier;159
Gare de Amiens;Gare de St Quentin;93
Gare de Creil;Gare de Laon;171
Gare de Creil;Laon-Gare-Routière-Poma;200
Gare de St Quentin;Gare de Tergnier;28
Gare de Creil;Gare de St-Just-SNCF;56
Gare de Amiens;Gare de St-Just-SNCF;87
Gare de Amiens;Gare de Creil;95
Gare de Abancourt;Le Tréport-Mers-Les-B;83
Gare de Angoulême;Gare de Poitiers;158
Gare de La Rochelle-Ville;Gare de Saintes;98
Gare de La-Rochelle-Pt-Dauphine;Gare de Rochefort;64
Gare de La Rochelle-Ville;Gare de St-Mariens-St-Yzan;184
Gare de La Rochelle-Ville;Gare de La-Rochelle-Pt-Dauphine;9
Gare de La-Rochelle-Pt-Dauphine;Gare de Saintes;133
Gare de Niort;Gare de Saintes;95
Gare de Niort;Gare de Royan;139
Gare de Angoulême;Gare de Saintes;98
Gare de Angoulême;Gare de Royan;145
Gare de Breil-sur-Roya;Gare de Tende;40
Gare de Cannes;Gare de Grasse;50
Gare de Marseille-St-Charles;Gare de Toulon;125
Gare de Les Arcs-Draguignan;Gare de St-Raphaël-Valescure;30
Gare de Nice-Ville;Gare de Sospel;65
Gare de Nice-Ville;Gare de Touet-de-l'Escarène;65
Gare de Avignon-Centre;Gare de Miramas;100
Aix-Gare-Routière;Gare de Marseille-St-Charles;55
Aix-Gare-Routière;Gare de Gardanne;20
Gare de Marseille-St-Charles;Gare de Sisteron;175
Gare de Marseille-St-Charles;Gare de Martigues;70
Roanne-Gare-Routière;Saint-Etienne-Chtx GR;119
Lyon-Perrache-Gare-Rout;Roanne-Gare-Routière;142
Gare de Clelles-Mens;Gare de Veynes-Dévoluy;56
Gare de Gap;Gare de Veynes-Dévoluy;30
Gare de La Roche-sur-Foron;Gare de St-Gervais-L-B-Le-Fayet;108
Gare de Annecy;Gare de La Roche-sur-Foron;55
