;Station;City
1313;wambaix;wambaix
1314;tours;tours
1315;st-cyprien-en-dordogne;saint-cyprien
1316;maurois;honnechy
1317;st-ouen-l'aumône-liesse;saint-ouen-l'aumone
1318;valmy;valmy
1319;houdan;houdan
1320;villeperdue;villeperdue
1321;faremoutiers-pommeuse;pommeuse
1322;montendre;montendre
1323;savigny-le-temple-nandy;savigny-le-temple
1324;la grave-d'ambarès-gare-inférieure;ambares-et-lagrave
1325;gambsheim;gambsheim
1326;beaulieu-le coudray;le coudray
1327;champ-de-mars-tour-eiffel;paris
1328;vernet-d'ariège;le vernet
1329;cavignac;cavignac
1330;auboué;auboué
1331;salomé;salomé
1332;foucart-alvimare;foucart
1333;menars;menars
1334;roscoff;roscoff
1335;plouvara-plerneuf;plouvara
1336;la souterraine;la souterraine
1337;pont-du-château;pont-du-château
1338;longueau;longueau
1339;lérouville;lérouville
1340;bourg-st-maurice;bourg-saint-maurice
1341;liverdun;liverdun
1342;douai;douai
1343;rosières-aux-salines;dombasle-sur-meurthe
1344;trémentines;trémentines
1345;moulis-listrac;moulis-en-médoc
1346;walygator-parc;maizieres-les-metz
1347;meaux;meaux
1348;wihr-au-val-soultzbach-les-bains;wihr-au-val
1349;le dramont;saint-raphael
1350;st-ours-les-roches;saint-ours
1351;rivesaltes;rivesaltes
1352;pierre-bénite;pierre-benite
1353;marigny;marigny
1354;mareil-marly;mareil-marly
1355;montluel;montluel
1356;livry-gargan;pavillons-sous-bois (les)
1357;vielmur-sur-agout;vielmur-sur-agout
1358;fos-coussoul;fos-sur-mer
1359;delle;delle
1360;château-gaillard;santilly
1361;veynes-dévoluy;veynes
1362;bogny-sur-meuse;bogny-sur-meuse
1363;st-gilles-du-gard;saint-gilles
1364;la hutte-coulombiers;coulombiers
1365;agen;agen
1366;villefranche-sur-cher;villefranche-sur-cher
1367;heilly;méricourt-l'abbé
1368;leffrinckoucke;dunkerque
1369;aire-sur-l'adour;aire-sur-l'adour
1370;lamotte-beuvron;lamotte-beuvron
1371;rueil-malmaison;rueil-malmaison
1372;aulnat-aéroport;aulnat
1373;clerval;clerval
1374;liesle;liesle
1375;port-la-nouvelle;port-la-nouvelle
1376;breil-sur-roya;breil-sur-roya
1377;lamonzie-st-martin;lamonzie-saint-martin
1378;fretin;fretin
1379;blois-chambord;blois
1380;teillé;teillé
1381;labouheyre;labouheyre
1382;st-pé-de-bigorre;saint-pé-de-bigorre
1383;montdauphin-guillestre;eygliers
1384;la madeleine;madeleine (la )
1385;clisson;clisson
1386;st-quentin-fallavier;saint-quentin-fallavier
1387;st-dié-des-vosges;saint-die
1388;les sables-blancs;plouharnel
1389;creil;creil
1390;yffiniac;yffiniac
1391;bois-le-roi;bois-le-roi
1392;montargis;chalette-sur-loing
1393;sarre-union;sarre-union
1394;la roche-en-brenil;la roche-en-brenil
1395;st-martin-du-mont;saint-martin-du-mont
1396;le mans;mans (le )
1397;colroy-lubine;colroy-la-grande
1398;mulhouse-musées (tram/train);mulhouse
1399;luché;luché-thouarsais
1400;le péage-de-roussillon;le péage-de-roussillon
1401;wambrechies;wambrechies
1402;montcornet;montcornet
1403;st-étienne-bellevue;saint-etienne
1404;lesparre;lesparre-médoc
1405;ussel;ussel
1406;vignols-st-solve;saint-solve
1407;châteaulin;châteaulin
1408;louveciennes;louveciennes
1409;busigny;busigny
1410;boissy-l'aillerie;boissy-l'aillerie
1411;gap;gap
1412;orchamps;orchamps
1413;audrieu;audrieu
1414;cannes-la-bocca;cannes
1415;gaillon-aubevoye;aubevoye
1416;mitry-claye;mitry-mory
1417;vivy;vivy
1418;méru;meru
1419;vivoin-beaumont;vivoin
1420;angers-st-laud;angers
1421;chamborigaud;chamborigaud
1422;les lacs;saint-aubin-des-landes
1423;alès;ales
1424;lyon-st-paul;lyon
1425;vimy;vimy
1426;sélestat;selestat
1427;st-geniès-de-malgoirès;saint-geniès-de-malgoirès
1428;mirecourt;mirecourt
1429;rungis-la-fraternelle;rungis
1430;dax;saint-paul-les-dax
1431;savenay;savenay
1432;bois-colombes;bois-colombes
1433;loures-barbazan;loures-barousse
1434;bois-colombes;bois-colombes
1435;époisses;époisses
1436;mont-de-marsan;mont-de-marsan
1437;pernes-camblain;camblain-châtelain
1438;miramas;miramas
1439;sibelin;solaize
1440;santes;santes
1441;trith-st-léger;trith-saint-léger
1442;pagny-sur-meuse;pagny-sur-meuse
1443;noyen;noyen-sur-sarthe
1444;ailly-sur-somme;ailly-sur-somme
1445;les longevilles-rochejean;longevilles-mont-d'or
1446;st-pierre-de-chignac;saint-pierre-de-chignac
1447;ligugé;ligugé
1448;bollwiller;bollwiller
1449;moulins-sur-allier;moulins
1450;st-leu-d'esserent;saint-leu-d'esserent
1451;st-lô;saint-lo
1452;naucelle;naucelle
1453;anglefort;anglefort
1454;milhac-d'auberoche;milhac-d'auberoche
1455;manois;manois
1456;st-omer;saint-omer
1457;sucy-bonneuil;sucy-en-brie
1458;séon-st-henry;marseille
1459;galuzot;saint-vallier
1460;champigny-sur-yonne;champigny
1461;allonnes-boisville;boisville-la-saint-père
1462;bobigny;bobigny
1463;mussidan;mussidan
1464;bobigny;bobigny
1465;st-hilaire-de-chaléons;saint-hilaire-de-chaléons
1466;entrains;entrains-sur-nohain
1467;reims-maison-blanche;reims
1468;essonnes-robinson;corbeil-essonnes
1469;bellegarde;bellegarde-sur-valserine
1470;poissy;poissy
1471;épanvilliers;blanzay
1472;allée-de-la-tour-rendez-vous;villemomble
1473;marssac-sur-tarn;marssac-sur-tarn
1474;ébersviller;ébersviller
1475;luxeuil-les-bains;luxeuil-les-bains
1476;gadagne;châteauneuf-de-gadagne
1477;sarreguemines;sarreguemines
1478;nançois-tronville;nançois-sur-ornain
1479;brignoud;villard-bonnot
1480;les versannes;la douze
1481;st-florentin-vergigny;vergigny
1482;sennecey-le-grand;sennecey-le-grand
1483;buzy-en-béarn;buzy
1484;nesle;nesle
1485;sarralbe;sarralbe
1486;couëron;coueron
1487;limoges-bénédictins;limoges
1488;le molay-littry;le molay-littry
1489;auneau;roinville
1490;strasbourg-cronenbourg;strasbourg
1491;arc-et-senans;arc-et-senans
1492;la couronne-carro;martigues
1493;lavaufranche;lavaufranche
1494;bueil;bueil
