;Station;City
1915;la ciotat;ciotat (la)
1916;clamart;clamart
1917;aumont-aubrac;aumont-aubrac
1918;montierchaume;montierchaume
1919;cergy-st-christophe;cergy
1920;la norville-st-germain-lès-arpajon;la norville
1921;lizy-sur-ourcq;lizy-sur-ourcq
1922;baleycourt;verdun
1923;la ferté-hauterive;la ferté-hauterive
1924;fléré-la-rivière;fléré-la-rivière
1925;mende;mende
1926;loison-sous-lens;loison-sous-lens
1927;tavaux-solvay;tavaux
1928;luc;luc
1929;viroflay-rive-gauche;viroflay
1930;janville;le puiset
1931;st-yrieix;saint-yrieix-la-perche
1932;rolleville;rolleville
1933;saillans;saillans
1934;alixan-châteauneuf-d'isère;châteauneuf-sur-isère
1935;kédange;kédange-sur-canner
1936;esquelbecq;esquelbecq
1937;les perrières;nevers
1938;mantes-la-jolie;mantes-la-ville
1939;andrésy;andresy
1940;pertuis;pertuis
1941;la chapelle-st-ursin-morthomiers;la chapelle-saint-ursin
1942;leval;leval
1943;belfort;danjoutin
1944;dunkerque;dunkerque
1945;sathonay-rillieux;rillieux-la-pape
1946;pont-de-l'arche;alizay
1947;lyon-gorge-de-loup;lyon
1948;givors;givors
1949;mirebeau-sur-bèze;mirebeau-sur-bèze
1950;urçay;la perche
1951;montfort-sur-meu;montfort-sur-meu
1952;pont-de-sallaumines;sallaumines
1953;hunspach;hunspach
1954;montreuil-belfroi;montreuil-juigné
1955;les mais;callac
1956;aillevillers;corbenay
1957;cessieu;cessieu
1958;aubiat;aubiat
1959;hesdigneul;hesdigneul-lès-boulogne
1960;portet-st-simon;portet-sur-garonne
1961;corbeil-essonnes;corbeil-essonnes
1962;st-julien-montricher;saint-julien-mont-denis
1963;abancourt;abancourt
1964;mignaloux-nouaillé;mignaloux-beauvoir
1965;is-sur-tille;marcilly-sur-tille
1966;viévola;tende
1967;espéraza;espéraza
1968;cramoisy;cramoisy
1969;kilstett;kilstett
1970;st-martin-le-beau;saint-martin-le-beau
1971;chalon-sur-saône;chalon-sur-saone
1972;st-roch (somme);amiens
1973;st-laurent-du-var;saint-laurent-du-var
1974;montrouge-châtillon;chatillon
1975;groslay;groslay
1976;bègles;begles
1977;niolon;le rove
1978;léchelle (seine-et-marne);léchelle
1979;st-pierre-du-vauvray;saint-pierre-du-vauvray
1980;quiberon;quiberon
1981;le pénity;duault
1982;fontpédrouse-st-thomas-les-bains;fontpédrouse
1983;noyelles-sur-mer;noyelles-sur-mer
1984;moirans;moirans
1985;blanc-misseron;crespin
1986;st-nom-la-bretêche-forêt-de-marly;l'étang-la-ville
1987;courville-sur-eure;courville-sur-eure
1988;brens-virignin;brens
1989;paris-nord-souterraine;paris
1990;plougonver;plougonver
1991;pontgouin;pontgouin
1992;sévérac-le-château;sévérac-le-château
1993;meyrargues;meyrargues
1994;fellering;fellering
1995;villeneuve-la-comtesse;villeneuve-la-comtesse
1996;neuville-aux-bois;neuville-aux-bois
1997;thann-centre;thann
1998;hautmont;hautmont
1999;neuves-maisons;neuves-maisons
2000;tarascon-sur-ariège;tarascon-sur-ariège
2001;selommes;selommes
2002;laroque;laroque-timbaut
2003;fontaine-le-port;fontaine-le-port
2004;elne;elne
2005;pont-de-veyle;crottet
2006;grigny-centre;grigny
2007;crépy-couvron;crépy
2008;gazinet-cestas;cestas
2009;alland'huy;alland'huy-et-sausseuil
2010;rabastens-couffouleux;coufouleux
2011;ennevelin;templeuve
2012;marseille-prado;marseille
2013;dole;dole
2014;saincaize;saincaize-meauce
2015;dieulouard;dieulouard
2016;gourland;guingamp
2017;vallorcine;vallorcine
2018;bressuire;bressuire
2019;issy-val-de-seine;issy-les-moulineaux
2020;chouzy;chouzy-sur-cisse
2021;paul-émile-victor;champagnole
2022;st-laurent-de-la-prée;saint-laurent-de-la-prée
2023;dommartin-lissieu;dommartin
2024;montdidier;montdidier
2025;vinay;vinay
2026;lamarche;lamarche
2027;pont-de-roide;pont-de-roide
2028;tenay-hauteville;tenay
2029;moreuil;moreuil
2030;ugine;ugine
2031;lurbe-st-christau;lurbe-saint-christau
2032;bergerac;bergerac
2033;st-sulpice-izon;saint-sulpice-et-cameyrac
2034;st-loubès;saint-loubes
2035;uzel;saint-hervé
2036;breteuil;breteuil
2037;la ferté-alais;la ferté-alais
2038;boussay-la bruffière;boussay
2039;châtelaudren-plouagat;plouagat
2040;invalides;paris
2041;eymoutiers-vassivière;eymoutiers
2042;éguzon;éguzon-chantôme
2043;banassac-la canourgue;banassac
2044;coussac-bonneval;coussac-bonneval
2045;thésée;thésée
2046;siorac-en-périgord;siorac-en-périgord
2047;peltre;peltre
2048;kerhostin;saint-pierre-quiberon
2049;chemillé;chemillé
2050;labège-innopole;labège
2051;cannes-marchandises;cannes
2052;haguenau;schweighouse-sur-moder
2053;liévin;lievin
2054;elbeuf-st-aubin;saint-aubin-les-elbeuf
2055;santeuil-le perchay;santeuil
2056;sous-le-bois;maubeuge
2057;la vancelle;kintzheim
2058;dompierre-sur-mer;dompierre-sur-mer
2059;chemin-d'antony;antony
2060;varades-st-florent-le-vieil;varades
2061;molinges;molinges
2062;écouen-ézanville;ezanville
2063;charleville-mézières;charleville-mezieres
2064;meximieux-pérouges;meximieux
2065;mennessis;mennessis
2066;issoire;issoire
2067;rouillé;rouillé
2068;baccarat;baccarat
2069;vichy;vichy
2070;dambach-la-ville;dambach-la-ville
2071;rethel;rethel
2072;roissy-aéroport-charles-de-gaulle 2-tgv (rer);le mesnil-amelot
2073;perpignan;perpignan
2074;asnières-sur-seine;asnieres-sur-seine
2075;bonson;bonson
2076;thuès;thuès-entre-valls
2077;strasbourg-ville;strasbourg
2078;pontrieux-halte;pontrieux
2079;calais-ville;calais
2080;bailleul;bailleul
2081;mantes-station;mantes-la-jolie
2082;chamousset;chamousset
2083;wattignies-templemars;templemars
2084;metz-nord;metz
2085;metz-chambière;metz
2086;la chaux-des-crotenay;chaux-des-crotenay
2087;st-aulaire;saint-aulaire
2088;arbanats;arbanats
2089;pont-audemer;pont-audemer
2090;st-michel-sur-charente;angouleme
2091;bigny;vallenay
2092;gray;arc-lès-gray
2093;anthéor-cap-roux;saint-raphael
2094;ste-marthe-en-provence;marseille
2095;valenciennes;valenciennes
2096;étival-clairefontaine;étival-clairefontaine
2097;montauban-de-bretagne;montauban-de-bretagne
2098;vire;vire
2099;castillon;castillon-la-bataille
2100;port-st-père-st-mars;port-saint-père
2101;sessenheim;sessenheim
2102;pagny-sur-moselle;pagny-sur-moselle
2103;jarville-la-malgrange;jarville-la-malgrange
2104;jarville-la-malgrange;jarville-la-malgrange
2105;st-cyr;saint-cyr-l'ecole
2106;st-cyr;saint-cyr-l'ecole
2107;landry;landry
2108;chaponval;auvers-sur-oise
2109;langogne;langogne
2110;avrigny;avrigny
2111;nort-sur-erdre;nort-sur-erdre
2112;longueau;boves
2113;st-éloy;saint-éloy-les-mines
2114;muhlbach-sur-munster;muhlbach-sur-munster
2115;argenteuil gc;argenteuil
2116;zetting;zetting
2117;villers-st-paul;villers-saint-paul
2118;vitré;vitre
2119;pont-ste-maxence;pont-sainte-maxence
2120;aspres-sur-buëch;aspres-sur-buëch
2121;suresnes-mont-valérien;suresnes
2122;vallon;vallon-en-sully
2123;limoges-montjovis;limoges
2124;herrlisheim;herrlisheim
2125;somain;somain
2126;broye;saint-symphorien-de-marmagne
2127;aubagne;aubagne
2128;villereversure;villereversure
2129;fumay;fumay
2130;serqueux;serqueux
2131;vauvert;vauvert
2132;bedous;bedous
2133;montlouis;montlouis-sur-loire
2134;lumes;lumes
2135;st-georges-de-reneins;saint-georges-de-reneins
2136;coligny (marne);val-des-marais
2137;monsempron-libos;monsempron-libos
2138;sauveterre-la-lémance;sauveterre-la-lémance
2139;gramat;gramat
2140;fismes;fismes
2141;bitche-camp;bitche
2142;avenue-foch;paris
2143;heilles-mouchy;heilles
2144;grande-synthe;grande-synthe
2145;étaples-le touquet;etaples
2146;blanzy-poste;blanzy
2147;monestier-de-clermont;monestier-de-clermont
2148;breil-sur-roya;breil-sur-roya
2149;bischwiller;bischwiller
2150;fort-l'écluse-collonges;collonges
2151;dissay;dissay
2152;st-louis;saint-louis
2153;hirson;hirson
2154;lyon-guillotière;lyon
2155;sarlat;sarlat-la-caneda
2156;givors-canal;givors
2157;le theil-la rouge;la rouge
2158;thionville;thionville
2159;trèbes;trèbes
2160;royat-chamalières;chamalieres
2161;durtol-nohanent;durtol
2162;st-symphorien-de-marmagne;saint-symphorien-de-marmagne
2163;lillers;lillers
2164;iwuy;iwuy
2165;metzeral;metzeral
2166;antibes;antibes
2167;billy-montigny;billy-montigny
2168;nointel-mours;nointel
2169;verdun;verdun
2170;coulanges-sur-yonne;crain
2171;le pallet;le pallet
2172;cherbourg;cherbourg
2173;amagne-lucquy;lucquy
2174;courthézon;courthezon
2175;longroy-gamaches;longroy
2176;pontchâteau;pontchâteau
2177;beaurepaire;beaurepaire
2178;anvin;anvin
2179;st-cloud;saint-cloud
2180;melun;melun
2181;morières-lès-avignon;morières-lès-avignon
2182;fos-sur-mer;port-de-bouc
2183;notre-dame-d'oé;notre-dame-d'oé
2184;port-brillet;port-brillet
2185;tournus;tournus
2186;la chapelle-centre;chapelle-sur-erdre (la )
2187;la jonchère;la jonchère-saint-maurice
2188;conlie;conlie
2189;lunel-viel;lunel-viel
2190;peillon-ste-thècle;peillon
2191;béna-fanes;enveitg
2192;chaumont-en-vexin;chaumont-en-vexin
2193;jacques-monod-la demi-lieue;montivilliers
2194;l'isle-adam-parmain;parmain
2195;beuvrages;beuvrages
2196;la taye;saint-georges-sur-eure
2197;solférino;solférino
2198;bécon-les-bruyères;courbevoie
2199;st-amarin;saint-amarin
2200;solliès-pont;sollies-pont
2201;marolles-en-hurepoix;marolles-en-hurepoix
2202;penne;penne-d'agenais
2203;avion;avion
2204;étainhus-st-romain;étainhus
2205;vaas;vaas
2206;aubazine-st-hilaire;saint-hilaire-peyroux
2207;bayeux;bayeux
2208;fauga;le fauga
2209;st-marcel-en-dombes;saint-marcel
2210;lons-le-saunier;lons-le-saunier
2211;cernay;ermont
2212;lutzelbourg;lutzelbourg
2213;bacouël;bacouel-sur-selle
2214;oberhoffen-camp-de-haguenau;oberhoffen-sur-moder
2215;pouxeux;pouxeux
2216;jaunay-clan;jaunay-clan
2217;banyuls-sur-mer;banyuls-sur-mer
2218;héming;héming
2219;bordeaux-st-jean;bordeaux
2220;drap-cantaron;cantaron
2221;st-lô;saint-lo
2222;mareuil-sur-ourcq;mareuil-sur-ourcq
2223;ormoy-villers;ormoy-villers
2224;eu;eu
2225;la baule-les-pins;baule-escoublac (la )
2226;dieppe;dieppe
2227;la loupe;la loupe
2228;portets;portets
2229;callac;callac
2230;champ-de-courses-d'enghien;soisy-sous-montmorency
2231;aix-en-provence-marchandises;aix-en-provence
2232;morannes;morannes
2233;ceilhes-roqueredonde;roqueredonde
2234;labège-innopole;labège
2235;briare;briare
2236;châtillon-d'azergues;châtillon
2237;les trillers;vaux
2238;riom-châtel-guyon;riom
2239;le creusot-montceau-montchanin;écuisses
2240;villeneuve-lès-maguelone;villeneuve-lès-maguelone
2241;st-martin-de-crau;saint-martin-de-crau
2242;gommiers;terminiers
2243;ars-sur-moselle;ars-sur-moselle
2244;st-gaudens;saint-gaudens
2245;st-agne;toulouse
2246;orthez;orthez
2247;chasseradès;chasseradès
2248;bouzonville;bouzonville
2249;strasbourg-neudorf;strasbourg
2250;ste-christie;sainte-christie
2251;bessines;bessines-sur-gartempe
2252;pont-du-casse;pont-du-casse
2253;ludres;ludres
2254;futuroscope;chasseneuil-du-poitou
2255;lesseux-frapelle;lusse
2256;paris-nord;paris
2257;azerailles;azerailles
2258;brou;brou
2259;marseille-blancarde;marseille
2260;doulon;nantes
2261;questembert;questembert
2262;le teil;le teil
2263;pléchâtel;pléchâtel
2264;pringy;pringy
2265;st-victurnien;saint-victurnien
2266;les aubrais-orléans;fleury-les-aubrais
2267;lutterbach (haut-rhin);lutterbach
2268;peille;peille
2269;rully;rully
2270;roissy-aéroport-charles-de-gaulle 1;tremblay-en-france
2271;paimpol;paimpol
2272;autrey-lès-gray;autrey-lès-gray
2273;la bouteille;la bouteille
2274;poix-de-picardie;poix-de-picardie
2275;coudekerque-branche;coudekerque-branche
2276;chabris;chabris
2277;virville-manneville;virville
2278;le havre-graville;havre (le )
2279;deuil-montmagny;deuil-la-barre
2280;bollène-la-croisière;bollene
2281;les arcs-draguignan;les arcs
2282;brandérion;brandérion
2283;lescar;lescar
2284;mézidon;mézidon-canon
2285;château-arnoux-st-auban;château-arnoux-saint-auban
2286;château-arnoux-st-auban;château-arnoux-saint-auban
2287;munster;munster
2288;mulhouse-dornach;mulhouse
2289;laignes;laignes
2290;cap-martin-roquebrune;roquebrune-cap-martin
2291;busseau-sur-creuse;ahun
2292;pompadour-maisons-alfort;maisons-alfort
2293;assat;assat
2294;aime-la plagne;aime
2295;la frayère;cannes
2296;biot;antibes
2297;vauxaillon;vauxaillon
2298;île-napoléon-garage;sausheim
2299;petit-couronne;petit-couronne
2300;marle-sur-serre;marle
2301;culoz;culoz
2302;montfavet;avignon
2303;loudun;loudun
2304;rilly-la-montagne;rilly-la-montagne
2305;st-gervais-les-bains-le fayet;saint-gervais-les-bains
2306;dompierre;dompierre-sur-helpe
2307;colombier-fontaine;colombier-fontaine
2308;lempdes (haute-loire);lempdes-sur-allagnon
2309;bourgoin-jallieu;bourgoin-jallieu
2310;st-aignan-noyers;noyers-sur-cher
2311;uchaud;uchaud
2312;bayard;bayard-sur-marne
2313;bandol;bandol
2314;pouilly-sur-loire;pouilly-sur-loire
2315;arbois;arbois
2316;cases-de-pène;espira-de-l'agly
2317;nantes;nantes
2318;culmont-chalindrey;chalindrey
2319;la penne-sur-huveaune;la penne-sur-huveaune
2320;gannat;gannat
2321;haluchère-batignolles;nantes
2322;la chartre-sur-le-loir;la chartre-sur-le-loir
2323;feuquières-broquiers;feuquières
2324;amiens;amiens
2325;labège-village;labège
2326;lardy;lardy
2327;le soler;le soler
2328;l'estaque;marseille
2329;pont-à-mousson;pont-a-mousson
2330;les échets;miribel
2331;villeneuve-le-roi;villeneuve-le-roi
2332;uckange;uckange
2333;brunémont;brunémont
2334;arches;arches
2335;calais-fréthun;fréthun
2336;beillant;saint-sever-de-saintonge
2337;st-denis-de-pile;saint-denis-de-pile
2338;la courneuve-dugny;courneuve (la )
2339;bouaye;bouaye
2340;avignon-tgv;avignon
2341;mervans;mervans
2342;margut-fromy;margut
2343;eu;eu
2344;lapeyrouse;lapeyrouse
2345;beslé;guémené-penfao
2346;toul;toul
2347;valognes;valognes
2348;vouziers;vouziers
2349;villeneuve-sur-yonne;villeneuve-sur-yonne
2350;st-léonard;saint-léonard
2351;germaine;germaine
2352;coussey;coussey
2353;frontenex;frontenex
2354;villabé;villabé
2355;st-georges-de-commiers;saint-georges-de-commiers
2356;épinay-sur-seine tt;epinay-sur-seine
2357;mont-dore;mont-dore
2358;champagnole;champagnole
2359;wavrin;wavrin
2360;nanteuil-saâcy;saâcy-sur-marne
2361;méricourt-ribemont;méricourt-l'abbé
2362;vittel;vittel
2363;aubigny-sur-nère;aubigny-sur-nère
2364;la rochefoucauld;la rochefoucauld
2365;murat;murat
2366;toury;toury
2367;carentan;carentan
2368;gimont-cahuzac;gimont
2369;picquigny;picquigny
2370;montfort-le-gesnois;montfort-le-gesnois
2371;montreuil-sur-mer;montreuil
2372;st-masmes;saint-masmes
2373;gevrey-chambertin;gevrey-chambertin
2374;bellevue;meudon
2375;st-piat;saint-piat
2376;chenonceaux-chisseaux;chenonceaux
2377;montrichard;montrichard
2378;sarralbe;sarralbe
2379;chécy-mardié;chécy
2380;devecey;devecey
2381;montreuil;versailles
2382;orléans;orleans
2383;onzain-chaumont-sur-loire;onzain
2384;bersac;bersac-sur-rivalier
2385;les ormes-sur-vienne;les ormes
2386;le breuil-sur-couze;le breuil-sur-couze
2387;thiennes;thiennes
2388;écully-la-demi-lune;tassin-la-demi-lune
2389;pontivy;pontivy
2390;plounérin;plounérin
2391;st-juéry;saint-juéry
2392;la douzillère;joue-les-tours
2393;le haut-banc;ferques
2394;salon;salon-de-provence
2395;magnette;audes
2396;font-romeu-odeillo-via;font-romeu-odeillo-via
2397;logelbach;wintzenheim
2398;byans;byans-sur-doubs
2399;ytrac;ytrac
2400;flers;flers
2401;la ville-gozet;montlucon
2402;la charité-sur-loire;la charité-sur-loire
2403;la hutte-coulombiers;coulombiers
2404;nouan-le-fuzelier;nouan-le-fuzelier
2405;lentilly;lentilly
2406;épinal;epinal
2407;joncherey;joncherey
2408;gravigny-balizy;longjumeau
2409;longwy;longwy
2410;corbeil-essonnes;corbeil-essonnes
2411;sillé-le-guillaume;sillé-le-guillaume
2412;vidauban;vidauban
2413;cercy-la-tour;cercy-la-tour
2414;rémelfing;rémelfing
2415;saillagouse;saillagouse
2416;trie-château;trie-château
2417;louhans;louhans
2418;lunas;lunas
2419;joncet;serdinya
2420;vayrac;vayrac
2421;cousance;cousance
2422;mazières-verruyes;verruyes
2423;bruz;bruz
2424;dugny-la courneuve tt;courneuve (la )
2425;breteil;saint-gilles
2426;bonnard-bassou;bonnard
2427;mourmelon-le-petit;mourmelon-le-petit
2428;conches;conches-en-ouche
2429;sélestat;selestat
2430;bourth;bourth
2431;nérondes;nérondes
2432;civray-ville;civray
2433;monsempron-libos;monsempron-libos
2434;dol-de-bretagne;dol-de-bretagne
2435;don-sainghin;sainghin-en-weppes
2436;château-chinon;château-chinon(campagne)
2437;st-jean-d'angély;saint-jean-d'angély
2438;neuilly-sur-marne;neuilly-sur-marne
2439;ourscamps;pimprez
2440;dieupentale;dieupentale
2441;villefranche-sur-mer;villefranche-sur-mer
2442;aixe-sur-vienne;aixe-sur-vienne
2443;wimille-wimereux;wimille
2444;munster-badischhof;munster
2445;baraqueville-carcenac-peyralès;baraqueville
2446;martigné-ferchaud;martigné-ferchaud
2447;colmar;colmar
2448;beaune-la-rolande;beaune-la-rolande
2449;st-erme;saint-erme-outre-et-ramecourt
2450;mantes-station;mantes-la-ville
2451;caudéran-mérignac;bordeaux
2452;drefféac;drefféac
2453;st-flour-chaudes-aigues;saint-flour
2454;st-rambert-d'albon;saint-rambert-d'albon
2455;vernon-giverny;vernon
2456;montbéliard;montbeliard
2457;mont-de-marsan;mont-de-marsan
2458;noisy-le-sec;noisy-le-sec
2459;montmorillon;montmorillon
2460;laon;laon
2461;auffay;auffay
2462;lumbres;lumbres
2463;la hume;gujan-mestras
2464;blangy-sur-bresle;blangy-sur-bresle
2465;roche-lez-beaupré;roche-lez-beaupré
2466;chaville-vélizy;viroflay
2467;woippy;woippy
2468;nonant-le-pin;nonant-le-pin
2469;le buet;vallorcine
2470;gretz-armainvilliers;gretz-armainvilliers
2471;coltainville;coltainville
2472;agonac;agonac
2473;le cheylas-la buissière;le cheylas
2474;laveline-devant-bruyères;laveline-devant-bruyères
2475;marvejols;marvejols
2476;fougerolles;fougerolles
2477;trégonneau-squiffiec;squiffiec
2478;béziers;beziers
2479;lille-st-sauveur;lille
2480;landébia;landébia
2481;louroux-de-bouble;louroux-de-bouble
2482;bouray;lardy
2483;lorient;lorient
2484;courcelles-sur-nied;courcelles-sur-nied
2485;aubie-st-antoine;aubie-et-espessas
2486;bédarieux;bédarieux
2487;alaï;tassin-la-demi-lune
2488;la chapelle-la-reine;la chapelle-la-reine
2489;audun-le-roman;audun-le-roman
2490;thouaré;thouaré-sur-loire
2491;gemeaux;gemeaux
2492;pont-de-rungis-aéroport-d'orly;thiais
2493;châteaubriant;chateaubriant
2494;laroquebrou;laroquebrou
2495;pont-de-lignon;beauzac
2496;bainville-sur-madon;bainville-sur-madon
2497;nogent-sur-vernisson;nogent-sur-vernisson
2498;corcieux-vanémont;la houssière
2499;planès;planès
2500;surdon;le château-d'almenêches
2501;valence-d'agen;valence
2502;château-du-loir;château-du-loir
2503;lourdes;lourdes
2504;valleroy-moineville;valleroy
2505;st-cyr-les-lècques-la cadière;saint-cyr-sur-mer
2506;hirson-écoles;hirson
2507;isbergues;isbergues
2508;achiet;achiet-le-grand
2509;magneux-courlandon;courlandon
2510;bantzenheim;bantzenheim
2511;crissey;sassenay
2512;fromental;fromental
2513;renescure;renescure
2514;bessay;bessay-sur-allier
2515;anizy-pinon;pinon
2516;jarrie-vizille;jarrie
2517;lille-porte-de-douai;lille
2518;anor;anor
2519;vieilleville;mourioux-vieilleville
2520;pont-du-garigliano-hôpital-georges-pompidou;paris
2521;chorges;chorges
2522;st-hilaire-au-temple;saint-hilaire-au-temple
2523;monnerville;monnerville
2524;noirétable;noirétable
2525;sin-le-noble;sin-le-noble
2526;nouvion-sur-meuse;nouvion-sur-meuse
2527;sannois;sannois
2528;cluses;cluses
2529;bagneaux-sur-loing;bagneaux-sur-loing
2530;foëcy;foëcy
2531;irigny-yvours;irigny
2532;bussac;bussac-forêt
2533;la poterie;rennes
2534;auxonne;tillenay
2535;cerizay;cerizay
2536;paris-austerlitz;paris
2537;homécourt;homécourt
2538;sénas;sénas
2539;villeneuve-st-georges;villeneuve-saint-georges
2540;moulins-sur-allier;yzeure
2541;st-priest-taurion;saint-priest-taurion
2542;mundolsheim;mundolsheim
2543;montières;amiens
2544;mézin;mézin
2545;alouette-france;pessac
2546;molsheim;molsheim
2547;aillevillers;corbenay
2548;colmar;colmar
2549;chessy;chessy
2550;galliéni-cancéropole;toulouse
2551;pont-cardinet;paris
2552;lancey;villard-bonnot
2553;les ramassiers;toulouse
2554;st-patrice;saint-patrice
2555;muret;muret
2556;st-ouen-du-breuil;saint-ouen-du-breuil
2557;bouy;bouy
2558;rougemont-chanteloup;sevran
2559;francheville;francheville
2560;clermont-la rotonde;clermont-ferrand
2561;recquignies;recquignies
2562;lesquin;lesquin
2563;artix;artix
2564;carbonne;carbonne
2565;la joux;chamonix-mont-blanc
2566;le vieux-briollay;briollay
2567;vions-chanaz;vions
2568;crécy-la chapelle;crécy-la-chapelle
2569;salbris;salbris
2570;malaunay-le houlme;le houlme
2571;st-pierre-d'albigny;saint-pierre-d'albigny
2572;chevry;chevry
2573;meroux;meroux
2574;mutzig;mutzig
2575;le verdon;le verdon-sur-mer
2576;distroff;distroff
2577;bernay;bernay
2578;neuilly-lès-dijon;neuilly-lès-dijon
2579;valenciennes;valenciennes
2580;loos-en-gohelle;lens
2581;thouars;thouars
2582;marck;marck
2583;la forest;la forest-landerneau
2584;mouy-bury;mouy
2585;lapradelle;puilaurens
2586;provenchères-sur-fave;provenchères-sur-fave
2587;chevaigné;chevaigné
2588;keskastel;keskastel
2589;lux;lux
2590;lutzelhouse;muhlbach-sur-bruche
2591;vertou;vertou
2592;thann;thann
2593;couhé-vérac;ceaux-en-couhé
2594;franxault;franxault
2595;pont-hébert;rampan
2596;st-médard-d'eyrans;saint-médard-d'eyrans
2597;gargenville;gargenville
2598;massérac;massérac
2599;vic-mireval;vic-la-gardiole
2600;st-chély-d'apcher;saint-chély-d'apcher
2601;l'étang-la-ville;l'étang-la-ville
2602;niversac;saint-laurent-sur-manoire
2603;le vert-de-maisons;maisons-alfort
2604;arques-la-bataille;arques-la-bataille
2605;zu-rhein;mulhouse
2606;st-hilaire-st-nazaire;saint-hilaire-du-rosier
2607;issoudun;issoudun
2608;moûtiers-salins-brides-les-bains;moûtiers
2609;corbigny;corbigny
2610;le cateau;le cateau-cambrésis
2611;frénouville-cagny;cagny
2612;pontoise;saint-ouen-l'aumone
2613;toul;toul
2614;halte de fontanil-lycée de drap;drap
2615;olette-canaveilles-les-bains;olette
2616;oissel;oissel
2617;évreux-embranchement;evreux
2618;lamothe-montravel;lamothe-montravel
2619;rountzenheim;auenheim
2620;vézelise;vézelise
2621;bondy;bondy
2622;annappes;villeneuve-d'ascq
2623;st-raphaël-valescure;saint-raphael
2624;luchon;bagnères-de-luchon
2625;épône-mézières;épône
2626;mennecy;mennecy
2627;corseul-languenan;languenan
2628;esternay;esternay
2629;raedersheim;raedersheim
2630;st-denis-des-murs;saint-denis-des-murs
2631;darcey (côte-d'or);darcey
2632;feuquières-fressenneville;feuquières-en-vimeu
2633;la croix-de-méan;trignac
2634;le creusot;creusot (le )
2635;versailles-matelots;versailles
2636;osséja;osséja
2637;pomblière-st-marcel;saint-marcel
2638;ria;ria-sirach
2639;leyment;leyment
2640;tillières;tillières-sur-avre
2641;barjac;barjac
2642;laroche-migennes;migennes
2643;tours;tours
2644;grenoble-université-gières;gières
2645;maroeuil;maroeuil
2646;ambérieu;amberieu-en-bugey
2647;sète;sete
2648;cergy-le-haut;cergy
2649;st-étienne-la terrasse;saint-etienne
2650;beaugency;beaugency
2651;voreppe;voreppe
2652;igny;igny
2653;poligny;poligny
2654;la guierche;la guierche
2655;st-martin-du-touch;toulouse
2656;golfech;golfech
2657;villedieu-les-poêles;villedieu-les-poêles
2658;damblain;damblain
2659;pont-à-vendin;vendin-le-vieil
2660;route-de-launaguet;toulouse
2661;bourg-madame;bourg-madame
2662;jaux;jaux
2663;vaires-torcy;vaires-sur-marne
2664;ste-léocadie;sainte-léocadie
2665;pont-à-vendin;vendin-le-vieil
2666;versigny;versigny
2667;barbentane-rognonas;barbentane
2668;condat-le-lardin;le lardin-saint-lazare
2669;beaurainville;beaurainville
2670;paris-austerlitz-souterrain;paris
2671;trilport;trilport
2672;remiremont;remiremont
2673;la coquille;la coquille
2674;cambrai-annexe;cambrai
2675;les moussoux;chamonix-mont-blanc
2676;riedseltz;riedseltz
2677;montluçon-ville;montlucon
2678;orange;orange
2679;capdenac;capdenac-gare
2680;sète;sete
2681;guéthary;guéthary
2682;dives-cabourg;dives-sur-mer
2683;vieux-thann zi;vieux-thann
2684;courzieu-brussieu;courzieu
2685;st-amour;saint-amour
2686;loulay;loulay
2687;aunay-tréon;tréon
2688;raismes;raismes
2689;conflans-jarny;jarny
2690;nexon;nexon
2691;batz-sur-mer;batz-sur-mer
2692;les cabannes;les cabannes
2693;obermodern;obermodern-zutzendorf
2694;château-gontier;chateau-gontier
2695;traou-nez;plourivo
2696;santenay-les-bains;santenay
2697;savenay;savenay
2698;st-michel-sur-meurthe;saint-michel-sur-meurthe
2699;poinçon;poinçon-lès-larrey
2700;st-cloud;saint-cloud
2701;villefranche-vernet-les-bains;villefranche-de-conflent
2702;mayet;mayet
2703;les fontinettes;calais
2704;st-sauveur-châteauneuf;saint-sauveur-marville
2705;st-malo;saint-malo
2706;autun;autun
2707;nuisement;nuisement-sur-coole
2708;ambérieu;amberieu-en-bugey
2709;oderen;oderen
2710;cros-de-cagnes;cagnes-sur-mer
2711;les coquetiers;villemomble
2712;montville;montville
2713;savennières-béhuard;savennières
2714;livron;livron-sur-drôme
2715;layrac;layrac
2716;sarralbe;sarralbe
2717;aigues-vives;aigues-vives
2718;fos-mole-central;fos-sur-mer
2719;frynaudour;plourivo
2720;virieu-le-grand-belley;virieu-le-grand
2721;bédarieux;bédarieux
2722;dordives;dordives
2723;beaumont-de-lomagne;beaumont-de-lomagne
2724;la fontaine;wavrin
2725;druye;druye
2726;moret-veneux-les-sablons;veneux-les-sablons
2727;aspres-sur-buëch;aspres-sur-buëch
2728;le croisic;le croisic
2729;braine;braine
2730;bossey-veyrier;étrembières
2731;paris-gare-de-lyon;paris
2732;monthois;monthois
2733;bougival;celle-saint-cloud (la )
2734;changis-st-jean;changis-sur-marne
2735;la ferté-bernard;ferte-bernard (la)
2736;cransac;cransac
2737;brion-sur-ource;brion-sur-ource
2738;condé-sur-huisne;condé-sur-huisne
2739;le burg;varetz
2740;pontorson-mont-st-michel;pontorson
2741;dettwiller;dettwiller
2742;marseillan-plage;marseillan
2743;brest;brest
2744;dijon-ville;dijon
2745;veuves-monteaux;veuves
2746;raves-ban-de-laveline;raves
2747;aillevillers;corbenay
